model,score,time
mistral,10,24.01
mistral,10,39.41
mistral,10,25.02
mistral,8,23.5
mistral,8,37.87
mistral,10,48.51
mistral,9,35.41
mistral,10,55.83
mistral,10,49.32
mistral,9,34.13
mistral,9,52.75
mistral,8,59.39
mistral,9,68.02
mistral,10,44.97
mistral,7,43.4
mistral,10,74.49
mistral,10,39.91
mistral,8,49.72
mistral,10,58.02
mistral,9,34.95
mistral,7,36.49
mistral,10,40.85
mistral,3,36.77
mistral,8,37.79
mistral,9,48.37
mistral,6,50.41
mistral,8,38.4
mistral,10,67.09
mistral,9,80.97
mistral,10,51.01
mistral,6,68.45
mistral,10,58.81
mistral,8,47.64
mistral,10,40.46
mistral,10,36.92
mistral,10,38.7
mistral,0,31.19
mistral,7,36.31
mistral,9,54.15
mistral,9,48.11
mistral,9,49.99
mistral,10,48.8
mistral,10,50.2
mistral,6,766.84
mistral,10,59.82
mistral,9,51.62
zephyr,10,52.12
zephyr,8,61.98
zephyr,1,29.84
zephyr,1,83.35
zephyr,5,42.7
zephyr,5,59.59
zephyr,10,41.6
zephyr,10,50.65
zephyr,8,57.54
zephyr,7,54.57
zephyr,10,37.99
zephyr,10,37.04
zephyr,10,43.01
zephyr,5,41.39
zephyr,8,41.6
zephyr,9,56.25
zephyr,8,49.21
zephyr,10,39.48
zephyr,9,40.2
zephyr,1,52.28
zephyr,9,57.76
zephyr,8,48.55
zephyr,9,68.75
zephyr,8,64.79
zephyr,10,44.77
zephyr,10,43.74
zephyr,8,50.53
zephyr,8,51.26
zephyr,5,66.09
zephyr,10,83.39
zephyr,10,42.48
zephyr,10,123.96
zephyr,8,83.52
zephyr,5,104.6
zephyr,10,76.0
zephyr,9,53.12
zephyr,10,54.69
zephyr,9,44.56
zephyr,5,89.58
