question,answer
What does Article 1 of the Portuguese Penal Code establish?,"Article 1 establishes the principle of legality, stating that only actions defined and punishable by law at the time of their commission can be subject to criminal penalties."
"According to the Portuguese Code of Criminal Procedure, who has the competence to assist judicial authorities in achieving the aims of the process?",The criminal police bodies have the competence to assist judicial authorities in achieving the aims of the process.
What are the duties of the criminal police bodies according to Article 55?,"According to Article 55, the duties of the criminal police bodies include gathering information about crimes, preventing their consequences, identifying perpetrators, and carrying out necessary and urgent acts to secure evidence."
Who is considered an 'arguido' according to Article 57 of the Portuguese Code of Criminal Procedure?,"An 'arguido' is anyone against whom a charge or investigation has been made in a criminal proceeding, retaining this status throughout the process."
What rights does an 'arguido' have during the process according to Article 61?,"An 'arguido' has the rights to be present at procedural acts, to be heard by the court or judge, to be informed of the facts before making statements, to not answer questions about the charges, to have a lawyer, and to communicate privately with the lawyer."
Under what conditions is it mandatory to constitute an 'arguido' according to Article 58?,"It is mandatory to constitute an 'arguido' when there is founded suspicion of a crime, if a person needs to make statements, if any coercive measures or asset guarantees are to be applied, or if a suspect is detained or named as a crime agent."
What happens if the formalities for constituting an 'arguido' are not observed?,"If the formalities for constituting an 'arguido' are not observed, the statements made by the person cannot be used as evidence."
What is the role of the public prosecutor in the Portuguese criminal procedure?,"The public prosecutor promotes and directs the criminal investigation, represents the state in the prosecution of crimes, and ensures the legality of the criminal proceedings."
What is the purpose of the preliminary hearing in Portuguese criminal procedure?,The purpose of the preliminary hearing is to verify the existence of sufficient evidence to justify the continuation of the process and to discuss procedural issues between the parties.
When can the criminal police act on their own initiative according to Article 55?,"The criminal police can act on their own initiative to gather information about crimes, prevent their consequences, identify perpetrators, and perform urgent acts to secure evidence."
What is established by Article 13 regarding criminal liability in the Portuguese Penal Code?,Article 13 establishes that only individuals who have committed a crime with intent or negligence can be held criminally liable.
What are the general purposes of penalties according to Article 40?,The general purposes of penalties are to protect legal goods and reintegrate the perpetrator into society.
How is an attempt defined under Article 22 of the Portuguese Penal Code?,An attempt is defined as actions leading to the execution of a crime that was not completed due to circumstances independent of the perpetrator's will.
What does Article 70 state about the determination of penalties?,"Article 70 states that penalties should be determined based on the need to protect legal goods and the perpetrator's guilt, considering their motives and personal circumstances."
