model,score,time
llama2,8,19.64
llama2,8,13.01
llama2,8,12.72
llama2,8,13.65
llama2,8,12.48
llama2,8,16.98
llama2,8,10.59
llama2,8,20.24
llama2,8,19.61
llama2,8,14.25
llama2,8,15.13
llama2,8,12.36
llama2,8,12.69
llama2,8,17.38
llama2,8,13.61
llama2,8,11.53
llama2,8,13.82
llama2,8,11.03
llama2,8,9.8
llama2,8,11.56
llama2,7,11.8
llama2,8,15.83
llama2,8,9.53
llama2,8,10.14
llama2,8,12.66
llama2,8,11.74
llama2,8,16.27
llama2,8,14.84
llama2,8,11.52
llama2,8,18.25
llama2,8,17.09
llama2,8,9.93
llama2,8,18.18
llama2,7,14.85
llama2,8,14.34
llama2,8,17.16
llama2,7,18.7
llama2,8,16.9
llama2,8,13.4
llama2,8,19.32
llama2,8,15.57
llama2,8,13.58
llama2,8,17.04
llama2,8,16.29
llama2,8,19.52
llama2,8,13.33
llama2,8,15.77
llama2,8,17.32
llama2,8,12.37
llama2,8,14.68
mistral,10,16.59
mistral,7,6.88
mistral,10,6.66
mistral,8,8.06
mistral,10,11.65
mistral,7,12.03
mistral,10,16.68
mistral,10,18.36
mistral,10,20.68
mistral,9,12.52
mistral,10,14.13
mistral,10,9.72
mistral,10,9.08
mistral,10,13.66
mistral,10,9.98
mistral,9,8.5
mistral,10,17.12
mistral,10,10.39
mistral,10,11.45
mistral,6,33.68
mistral,9,16.34
mistral,10,17.58
mistral,7,13.05
mistral,3,13.42
mistral,8,10.77
mistral,5,8.99
mistral,9,13.63
mistral,3,12.39
mistral,10,13.23
mistral,10,17.09
mistral,10,16.77
mistral,5,22.73
mistral,10,18.23
mistral,10,10.52
mistral,0,26.3
mistral,9,14.79
mistral,7,16.97
mistral,6,13.18
mistral,3,10.34
mistral,3,16.7
mistral,9,16.09
mistral,10,13.66
mistral,9,15.2
mistral,10,12.77
mistral,9,13.96
mistral,8,13.9
mistral,10,17.37
mistral,10,19.73
zephyr,5,7.86
zephyr,10,5.88
zephyr,10,6.99
zephyr,10,10.88
zephyr,10,12.45
zephyr,10,14.77
zephyr,10,21.3
zephyr,10,13.82
zephyr,10,10.13
zephyr,1,78.13
zephyr,8,11.73
zephyr,10,21.87
zephyr,10,11.95
zephyr,5,10.01
zephyr,1,8.36
zephyr,10,9.55
zephyr,10,18.12
zephyr,5,13.71
zephyr,5,20.32
zephyr,10,14.28
zephyr,9,12.09
zephyr,5,94.51
zephyr,5,20.81
zephyr,10,13.32
zephyr,10,8.72
zephyr,10,11.6
zephyr,10,7.79
zephyr,10,7.37
zephyr,3,12.77
zephyr,10,10.93
zephyr,10,16.63
zephyr,10,16.97
zephyr,10,20.45
zephyr,10,14.88
zephyr,9,17.05
zephyr,9,12.51
zephyr,9,9.14
zephyr,10,14.01
zephyr,9,9.61
zephyr,9,11.82
zephyr,9,8.82
zephyr,9,19.06
zephyr,10,7.43
zephyr,9,11.36
zephyr,9,9.4
zephyr,10,10.46
zephyr,8,14.02
zephyr,5,16.21
zephyr,10,12.92
zephyr,5,45.34
zephyr,9,11.85
zephyr,8,17.83
